"Controle";"Subclasse";"Classe";"Atividade";"Equipe";"Complexidade"
133;"4771-7/01";"4771701";"Comercio varejista de produtos farmaceuticos, sem manipulacao de formulas";"DR";"MÉDIA"
134;"4771-7/02";"4771702";"Comercio varejista de produtos farmaceuticos, com manipulacao de formulas";"MD";"ALTA"
135;"4771-7/03";"4771703";"Comercio varejista de produtos farmaceuticos homeopaticos";"MD";"ALTA"
136;"4772-5/00";"4772500";"Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal";"CS";"BAIXA"
137;"4773-3/00";"4773300";"Comercio varejista de artigos medicos e ortopedicos";"OS";"BAIXA"
138;"4774-1/00";"4774100";"Comercio varejista de artigos de optica";"BI";"BAIXA"
140;"4789-0/05";"4789005";"Comercio varejista de produtos saneantes domissanitarios";"CS";"BAIXA"
141;"4930-2/01";"4930201";"Transporte rodoviario de carga, exceto produtos perigosos e mudancas, municipal";"TR";"MÉDIA"
142;"4930-2/02";"4930202";"Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional";"TR";"MÉDIA"
144;"5211-7/01";"5211701";"Armazens gerais - emissao de warrant";"AG";"MÉDIA"
145;"5211-7/99";"5211799";"Depositos de mercadorias para terceiros, exceto armazens gerais e guarda-moveis";"AM";"MÉDIA"
146;"5222-2/00";"5222200";"Terminais rodoviarios e ferroviarios";"AM";"MÉDIA"
147;"5510-8/01";"5510801";"Hoteis";"LP";"MÉDIA"
148;"5510-8/02";"5510802";"Apart-hoteis";"LP";"MÉDIA"
149;"5510-8/03";"5510803";"Moteis";"LP";"MÉDIA"
150;"5590-6/01";"5590601";"Albergues, exceto assistenciais";"LP";"MÉDIA"
151;"5590-6/03";"5590603";"Pensoes (alojamento)";"LP";"MÉDIA"
152;"5590-6/99";"5590699";"Outros alojamentos nao especificados anteriormente";"LP";"MÉDIA"
153;"5611-2/01";"5611201";"Restaurantes e similares";"AG";"MÉDIA"
154;"5611-2/04";"5611204";"Bares e outros estabelecimentos especializados em servir bebidas sem entrenimento";"AG";"BAIXA"
155;"5611-2/03";"5611203";"Lanchonetes, casas de cha, de sucos e similares";"AG";"BAIXA"
156;"5612-1/00";"5612100";"Servicos ambulantes de alimentacao";"AG";"BAIXA"
157;"5620-1/01";"5620101";"Fornecimento de alimentos preparados preponderantemente para empresas";"AG";"ALTA"
158;"5620-1/02";"5620102";"Servicos de alimentacao para eventos e recepcoes - bufe";"AG";"MÉDIA"
159;"5620-1/03";"5620103";"Cantinas - servicos de alimentacao privativos";"AG";"BAIXA"
160;"5620-1/04";"5620104";"Fornecimento de alimentos preparados preponderantemente para consumo domiciliar";"AG";"ALTA"
161;"5914-6/00";"5914600";"Atividades de exibicao cinematografica";"AG";"BAIXA"
162;"7500-1/00";"7500100";"Atividades veterinarias";"VT";"MÉDIA"
163;"7729-2/03";"7729203";"Aluguel de material medico";"OS";"BAIXA"
164;"8121-4/00";"8121400";"Limpeza em predios e em domicilios";"AM";"BAIXA"
165;"8122-2/00";"8122200";"Imunizacao e controle de pragas urbanas";"VT";"MÉDIA"
166;"8129-0/00";"8129000";"Atividades de limpeza nao especificadas anteriormente";"AM";"BAIXA"
167;"8230-0/02";"8230002";"Casas de festas e eventos";"AG";"BAIXA"
168;"8292-0/00";"8292000";"Envasamento e empacotamento sob contrato";"AG";"MÉDIA"
169;"8511-2/00";"8511200";"Educacao infantil - creche";"ED";"ALTA"
170;"8512-1/00";"8512100";"Educacao infantil - pre-escola";"ED";"MÉDIA"
171;"8513-9/00";"8513900";"Ensino fundamental";"ED";"MÉDIA"
172;"8531-7/00";"8531700";"Educacao superior - graduacao";"ED";"ALTA"
173;"8532-5/00";"8532500";"Educacao superior - graduacao e pos-graduacao";"ED";"ALTA"
174;"8533-3/00";"8533300";"Educacao superior - pos-graduacao e extensao";"ED";"MÉDIA"
175;"8541-4/00";"8541400";"Educacao profissional de nivel tecnico";"ED";"MÉDIA"
176;"8542-2/00";"8542200";"Educacao profissional de nivel tecnologico";"ED";"MÉDIA"
178;"8610-1/01";"8610101";"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias";"SS";"ALTA"
179;"8610-1/02";"8610102";"Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgencias";"SS";"ALTA"
180;"8621-6/01";"8621601";"UTI movel";"SS";"MÉDIA"
181;"8621-6/02";"8621602";"Servicos moveis de atendimento a urgencias, exceto por UTI movel";"SS";"BAIXA"
182;"8622-4/00";"8622400";"Servicos de remocao de pacientes, exceto os servicos moveis de atendimento a urgencias";"SS";"BAIXA"
183;"8630-5/01";"8630501";"Atividade medica ambulatorial com recursos para realizacao de procedimentos cirurgicos";"SS";"MÉDIA"
184;"8630-5/02";"8630502";"Atividade medica ambulatorial com recursos para realizacao de exames complementares";"SS";"MÉDIA"
185;"8630-5/03";"8630503";"Atividade medica ambulatorial restrita a consultas";"SS";"MÉDIA"
186;"8630-5/04";"8630504";"Atividade odontológica";"OD";"MÉDIA"
188;"8630-5/06";"8630506";"Servicos de vacinacao e imunizacao humana";"SS";"MÉDIA"
189;"8630-5/07";"8630507";"Atividades de reproducao humana assistida";"SS";"ALTA"
190;"8630-5/99";"8630599";"Atividades de atencao ambulatorial nao especificadas anteriormente";"SS";"BAIXA"
191;"8640-2/01";"8640201";"Laboratorios de anatomia patologica e citologica";"BI";"MÉDIA"
192;"8640-2/02";"8640202";"Laboratorios clinicos";"BI";"MÉDIA"
193;"8640-2/03";"8640203";"Servicos de dialise e nefrologia";"SS";"ALTA"
194;"8640-2/04";"8640204";"Servicos de tomografia";"OD";"MÉDIA"
195;"8640-2/05";"8640205";"Servicos de diagnostico por imagem com uso de radiacao ionizante, exceto tomografia";"OD";"MÉDIA"
196;"8640-2/06";"8640206";"Servicos de ressonancia magnetica";"OD";"MÉDIA"
197;"8640-2/07";"8640207";"Servicos de diagnostico por imagem sem uso de radiacao ionizante, exceto ressonancia magnetica";"OD";"MÉDIA"
198;"8640-2/08";"8640208";"Servicos de diagnostico por registro grafico - ECG, EEG e outros exames analogos";"SS";"MÉDIA"
199;"8640-2/09";"8640209";"Servicos de diagnostico por metodos opticos - endoscopia e outros exames analogos";"SS";"MÉDIA"
200;"8640-2/10";"8640210";"Servicos de quimioterapia";"SS";"ALTA"
201;"8640-2/11";"8640211";"Servicos de radioterapia";"SS";"ALTA"
202;"8640-2/12";"8640212";"Servicos de hemoterapia";"SS";"ALTA"
203;"8640-2/13";"8640213";"Servicos de litotripsia";"SS";"MÉDIA"
204;"8640-2/14";"8640214";"Servicos de bancos de celulas e tecidos humanos";"SS";"ALTA"
205;"8640-2/99";"8640299";"Atividades de servicos de complementacao diagnostica e terapeutica nao especificadas anteriormente";"SS";"BAIXA"
206;"8650-0/01";"8650001";"Atividades de enfermagem";"SS";"BAIXA"
207;"8650-0/02";"8650002";"Atividades de profissionais da nutricao";"SS";"BAIXA"
208;"8650-0/03";"8650003";"Atividades de psicologia e psicanalise";"SS";"BAIXA"
209;"8650-0/04";"8650004";"Atividades de fisioterapia";"SS";"BAIXA"
210;"8650-0/05";"8650005";"Atividades de terapia ocupacional";"SS";"BAIXA"
211;"8650-0/06";"8650006";"Atividades de fonoaudiologia";"SS";"BAIXA"
212;"8650-0/07";"8650007";"Atividades de terapia de nutricao enteral e parenteral";"IA";"MÉDIA"
213;"8650-0/99";"8650099";"Atividades de profissionais da area de saude nao especificadas anteriormente";"SS";"BAIXA"
214;"8690-9/01";"8690901";"Atividades de praticas integrativas e complementares em saude humana";"SS";"BAIXA"
215;"8690-9/02";"8690902";"Atividades de bancos de leite humano";"IA";"MÉDIA"
216;"8690-9/99";"8690999";"Outras atividades de atencao a saude humana nao especificadas anteriormente";"SS";"BAIXA"
217;"8711-5/01";"8711501";"Clinicas e residencias geriatricas";"LP";"ALTA"
218;"8711-5/02";"8711502";"Instituicoes de longa permanencia para idosos";"LP";"ALTA"
219;"8711-5/03";"8711503";"Atividades de assistencia a deficientes fisicos, imunodeprimidos e convalescentes";"LP";"ALTA"
220;"8711-5/04";"8711504";"Centros de apoio a pacientes com cancer e com AIDS";"LP";"MÉDIA"
221;"8711-5/05";"8711505";"Condominios residenciais para idosos";"LP";"MÉDIA"
222;"8720-4/01";"8720401";"Atividades de centros de assistencia psicossocial";"LP";"ALTA"
223;"8720-4/99";"8720499";"Atividades de assistencia psicossocial e a saude a portadores de disturbios psiquicos, deficiencia mental e dependencia quimica nao especificadas anteriormente";"LP";"ALTA"
224;"8730-1/01";"8730101";"Orfanatos";"LP";"MÉDIA"
225;"8730-1/02";"8730102";"Albergues assistenciais";"LP";"MÉDIA"
226;"8730-1/99";"8730199";"Atividades de assistencia social prestadas em residencias coletivas e particulares nao especificadas anteriormente";"LP";"BAIXA"
227;"8800-6/00";"8800600";"Servicos de assistencia social sem alojamento";"LP";"BAIXA"
228;"9001-9/04";"9001904";"Producao de espetaculos circenses, de marionetes e similares";"AG";"MÉDIA"
229;"9001-9/05";"9001905";"Producao de espetaculos de rodeios, vaquejadas e similares";"AG";"MÉDIA"
230;"9312-3/00";"9312300";"Clubes sociais, esportivos e similares";"ED";"MÉDIA"
231;"9313-1/00";"9313100";"Atividades de condicionamento fisico";"ED";"BAIXA"
232;"9321-2/00";"9321200";"Parques de diversao e parques tematicos";"AG";"MÉDIA"
233;"9329-8/01";"9329801";"Discotecas, danceterias, saloes de danca e similares";"AG";"MÉDIA"
234;"9601-7/01";"9601701";"Lavanderias";"AO";"BAIXA"
235;"9602-5/01";"9602501";"Cabeleireiros, manicure, pedicure";"AO";"BAIXA"
236;"9602-5/02";"9602502";"Atividades de estética e outros serviços de cuidados com a beleza";"AO";"MÉDIA"
237;"9603-3/01";"9603301";"Gestao e manutencao de cemiterios";"AM";"BAIXA"
238;"9603-3/02";"9603302";"Servicos de cremacao";"AO";"MÉDIA"
239;"9603-3/03";"9603303";"Servicos de sepultamento";"AO";"BAIXA"
240;"9603-3/04";"9603304";"Servicos de funerarias";"AO";"BAIXA"
241;"9603-3/05";"9603305";"Servicos de somatoconservacao";"AO";"ALTA"
242;"9603-3/99";"9603399";"Atividades funerarias e servicos relacionados nao especificados anteriormente";"AO";"BAIXA"
243;"9609-2/05";"9609205";"Atividades de Sauna e Banhos";"AO";"BAIXA"
244;"9609-2/08";"9609208";"Higiene e embelezamento de animais";"VT";"BAIXA"
245;"8520-1/00";"8520100";"Ensino Médio";"ED";"MÉDIA"
246;"9609-2/06";"9609206";"Serviço de tatuagem e colocação de Piercing";"AO";"MÉDIA"
247;"4731-8/00";"4731800";"Comércio varejista de combustíveis para veículos automotores";"AM";"MÉDIA"
248;"6422-1/00";"6422100";"Bancos Múltiplos, Com Carteira Comercial";"TR";"BAIXA"
249;"2222-6/00";"2222600";"Fabricação de Embalagens de Material Plástico";"AG";"ALTA"
250;"6822-6/00";"6822600";"Gestão e Administração de Propriedade Imobiliária";"AM";"MÉDIA"
257;"1731-1/00";"1731100";"Fabricação de embalagens de papel";"AG";"ALTA"
258;"4222-7/01";"4222701";"Construção de redes de abastecimento de água, coleta de esgoto e correlatas";"AM";"ALTA"
259;"7739-0/02";"7739002";"Aluguel de equipamentos científicos, médicos e hospitalares, sem operador";"OS";"BAIXA"
260;"2591-8/00";"2591800";"Fabricação de embalagens metálicas";"AG";"ALTA"
261;"7120-1/00";"7120100";"Testes e Análises Técnicas";"MD";"ALTA"
265;"1091-1/02";"1091102";"Fabricação de Produtos de Padaria e Confeitaria com Predominância de Produção Própria";"AG";"MÉDIA"
266;"9601-7/03";"9601703";"Toalheiros";"AO";"BAIXA"
267;"4729-6/02";"4729602";"Comércio varejista de mercadorias em lojas de conveniência";"AG";"BAIXA"
269;"2029-1/00";"2029100";"Fabricaçao de Produtos Químicos Orqânicos não Especificados Anteriormente";"CS";"ALTA"
270;"8712-3/00";"8712300";"Atividade de Fornecimento de Infraestrutura de Apoio e Assistência a Paciente no Domicilio";"OS";"BAIXA"
271;"9311-5/00";"9311500";"Gestão e instalação de esportes";"ED";"MÉDIA"
272;"3600-6/01";"3600601";"Captação, tratamento e distribuição de água";"AM";"ALTA"
273;"8690-9/04";"8690904";"Atividades de Podologia";"AO";"BAIXA"
274;"1122-4/99";"1122499";"Fabricação de outras bebidas não alcoólicas não especificadas anteriormente";"IA";"ALTA"
276;"8690-9/03";"8960903";"Atividades de Acupuntura";"SS";"MÉDIA"
277;"3250-7/09";"3250709";"Serviço de Laboratório Óptico";"BI";"MÉDIA"
278;"7210-0/00";"7120000";"Pesquisa e desenvolvimento experimental em ciências físicas e naturais";"MD";"ALTA"
280;"1091-1/01";"1091101";"Fabricação de produtos de panificação industrial";"IA";"ALTA"
281;"3292-2/02";"3292202";"Fabricação de Equipamentos e Acessórios para segurança pessoal e profissional";"PS";"ALTA"
282;"9999-9/99";"9999999";"Atividades não Sujeitas ao Alvará Sanitário";"AM";"BAIXA"
283;"4633-8/02";"4633802";"Comércio atacadista de aves vivas e ovos";"VT";"BAIXA"
284;"2019-3/99";"2019399";"Fabricação de outros produtos químicos inorgânicos não especificados";"CS";"ALTA"
285;"1099-6/07";"1099607";"Fabricação de alimentos dietéticos e complementos alimentares";"IA";"ALTA"
286;"9999-9/99";"9999999";"Outros CNAEs que não necessitam de Alvará Sanitario";"PS";"BAIXA"
287;"2093-2/00";"2093200";"Fabricação de Aditivos de Uso Industrial";"PS";"ALTA"
288;"8660-7/00";"8660700";"Atividades de Apoio à Gestão de Saúde";"MD";"ALTA"
290;"8230-0/01";"8230001";"Serviços de organização de feiras, congressos, exposições e festas";"AG";"BAIXA"
291;"5611-2/05";"5611205";"Bares e outros estabelecimentos especializados em servir bebidas com entrenimento";"AG";"BAIXA"
292;"6202-3/00";"6202300";"Desenvolvimento e licenciamento de programas de computador customizáveis";"";"ALTA"
